date,uci
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,406
2020-05-02,491
2020-05-03,466
2020-05-04,405
2020-05-05,401
2020-05-06,350
2020-05-07,342
2020-05-08,339
2020-05-09,323
2020-05-10,314
2020-05-11,283
2020-05-12,269
2020-05-13,249
2020-05-14,230
2020-05-15,224
2020-05-16,218
2020-05-17,210
2020-05-18,212
2020-05-19,187
2020-05-20,181
2020-05-21,173
2020-05-22,162
2020-05-23,154
2020-05-24,153
2020-05-25,154
2020-05-26,165
2020-05-27,147
2020-05-28,142
2020-05-29,120
2020-05-30,126
2020-05-31,127
2020-06-01,126
2020-06-02,122
2020-06-03,110
2020-06-04,106
2020-06-05,94
2020-06-06,105
2020-06-07,111
2020-06-08,93
2020-06-09,84
2020-06-10,86
2020-06-11,81
2020-06-12,74
2020-06-13,68
2020-06-14,71
2020-06-15,68
2020-06-16,67
2020-06-17,65
2020-06-18,61
2020-06-19,49
2020-06-20,50
2020-06-21,49
2020-06-22,49
2020-06-23,50
2020-06-24,46
2020-06-25,47
2020-06-26,48
2020-06-27,48
2020-06-28,45
2020-06-29,44
2020-06-30,41
2020-07-01,42
2020-07-02,38
2020-07-03,35
2020-07-04,38
2020-07-05,40
2020-07-06,39
2020-07-07,37
2020-07-08,42
2020-07-09,42
2020-07-10,40
2020-07-11,39
2020-07-12,44
2020-07-13,51
2020-07-14,44
2020-07-15,56
2020-07-16,57
2020-07-17,57
2020-07-18,55
2020-07-19,70
2020-07-20,65
2020-07-21,71
2020-07-22,80
2020-07-23,85
2020-07-24,88
2020-07-25,96
2020-07-26,94
2020-07-27,105
2020-07-28,112
2020-07-29,96
2020-07-30,102
2020-07-31,107
2020-08-01,99
2020-08-02,106
2020-08-03,107
2020-08-04,117
2020-08-05,109
2020-08-06,110
2020-08-07,106
2020-08-08,108
2020-08-09,115
2020-08-10,120
2020-08-11,122
2020-08-12,118
2020-08-13,121
2020-08-14,116
2020-08-15,122
2020-08-16,128
2020-08-17,133
2020-08-18,135
2020-08-19,128
2020-08-20,120
2020-08-21,140
2020-08-22,134
2020-08-23,131
2020-08-24,137
2020-08-25,132
2020-08-26,122
2020-08-27,126
2020-08-28,128
2020-08-29,138
2020-08-30,139
2020-08-31,128
2020-09-01,132
2020-09-02,133
2020-09-03,125
2020-09-04,125
2020-09-05,131
2020-09-06,136
2020-09-07,138
2020-09-08,130
2020-09-09,129
2020-09-10,130
2020-09-11,135
2020-09-12,136
2020-09-13,141
2020-09-14,129
2020-09-15,136
2020-09-16,137
2020-09-17,133
2020-09-18,130
2020-09-19,125
2020-09-20,139
2020-09-21,129
2020-09-22,158
2020-09-23,140
2020-09-24,131
2020-09-25,144
2020-09-26,138
2020-09-27,136
2020-09-28,140
2020-09-29,152
2020-09-30,152
2020-10-01,159
2020-10-02,160
2020-10-03,161
2020-10-04,159
2020-10-05,177
2020-10-06,171
2020-10-07,156
2020-10-08,167
2020-10-09,155
2020-10-10,165
2020-10-11,177
2020-10-12,176
2020-10-13,203
2020-10-14,201
2020-10-15,195
